Primary_Accession,Domain,Color,Darkness,Disorder,Compositional_Bias,Transmembrane,Length,Evolutionary_Re-use,Interactions,Coding_Potential
Q9Y6R9,Eukaryota,Dark,100%,59%,0%,0%,512,54,0,10.22
Q6P9F0,Eukaryota,Non-dark,96%,24%,0%,0%,684,23,4,11.05
Q8NA47,Eukaryota,Dark,100%,13%,0%,0%,563,107,0,12.32
Q8IXS2,Eukaryota,Dark,100%,5%,0%,0%,484,91,0,8.66
A2RUB6,Eukaryota,Dark,100%,57%,0%,0%,948,38,0,15.01
Q9H2F9,Eukaryota,Dark,100%,29%,0%,0%,335,32,0,5.81
A6NI79,Eukaryota,Dark,100%,40%,0%,0%,296,51,0,4.61
Q6NSX1,Eukaryota,Dark,100%,3%,0%,0%,233,8,0,3.22
Q8IV32,Eukaryota,Dark,100%,64%,0%,0%,467,11,0,10.55
Q6ZRK6,Eukaryota,Non-dark,87%,40%,0%,0%,1079,18,4,16.89
Q9BR77,Eukaryota,Dark,100%,17%,0%,0%,488,39,0,10.29
A2IDD5,Eukaryota,Dark,100%,43%,0%,0%,438,25,0,8.22
Q76M96,Eukaryota,Dark,100%,47%,19%,0%,950,42,2,15.28
Q6ZN84,Eukaryota,Dark,100%,26%,0%,0%,652,42,0,9.36
Q8N4S0,Eukaryota,Dark,100%,58%,1%,0%,544,58,0,11.91
Q8IWF9,Eukaryota,Dark,100%,20%,0%,0%,413,16,0,10.71
Q86UT8,Eukaryota,Dark,100%,42%,3%,0%,332,33,0,7.01
Q9H6F5,Eukaryota,Dark,100%,100%,43%,0%,360,47,48,4.76
Q9NVE4,Eukaryota,Non-dark,84%,15%,0%,0%,849,23,0,15.23
Q8N998,Eukaryota,Dark,100%,28%,0%,0%,374,5,0,9.33
Q7Z6B0,Eukaryota,Non-dark,97%,27%,0%,0%,441,20,2,11.21
Q53HC0,Eukaryota,Dark,100%,63%,0%,0%,331,30,0,7
Q567U6,Eukaryota,Dark,100%,32%,0%,0%,631,45,0,10.04
Q9BW85,Eukaryota,Dark,100%,68%,0%,0%,323,176,50,7.02
Q2M329,Eukaryota,Dark,100%,41%,32%,0%,555,57,0,11.54
Q96F63,Eukaryota,Dark,100%,61%,0%,0%,343,68,0,6.05
O95273,Eukaryota,Non-dark,0%,8%,0%,0%,360,18,6,8.55
Q9BQI4,Eukaryota,Dark,100%,14%,0%,0%,270,15,2,6.91
Q16204,Eukaryota,Dark,100%,62%,5%,0%,474,203,26,11.07
Q96M83,Eukaryota,Dark,100%,43%,0%,0%,486,17,0,7.95
Q9H0W5,Eukaryota,Non-dark,97%,80%,1%,0%,538,19,0,7.3
Q9Y3X0,Eukaryota,Dark,100%,100%,24%,0%,531,39,0,10.47
Q8TC90,Eukaryota,Dark,100%,63%,30%,0%,406,9,2,8.77
I3L3R5,Eukaryota,Dark,100%,82%,63%,0%,266,2,0,7.04
Q06432,Eukaryota,Non-dark,24%,0%,0%,38%,222,63,98,4.44
Q9Y698,Eukaryota,Non-dark,48%,20%,0%,26%,323,148,88,6.7
O60359,Eukaryota,Non-dark,47%,14%,0%,27%,315,139,92,4.56
Q9UBN1,Eukaryota,Non-dark,47%,11%,0%,26%,327,155,98,5.33
Q9UF02,Eukaryota,Non-dark,40%,0%,0%,31%,275,161,26,3.45
Q9BXT2,Eukaryota,Non-dark,38%,6%,0%,32%,260,60,110,4.06
P62955,Eukaryota,Non-dark,40%,1%,0%,31%,275,160,96,5.17
Q8WXS5,Eukaryota,Non-dark,61%,39%,32%,25%,425,101,100,3.27
Q8WXS4,Eukaryota,Dark,100%,0%,0%,44%,190,3,2,4.38
Q8TD31,Eukaryota,Dark,100%,38%,0%,0%,782,29,40,17.56
P53701,Eukaryota,Dark,100%,36%,0%,0%,268,110,8,3.36
P32238,Eukaryota,Non-dark,9%,7%,0%,39%,428,3848,110,4.8
P06307,Eukaryota,Dark,100%,38%,0%,0%,115,14,90,1.33
P51671,Eukaryota,Non-dark,24%,7%,0%,0%,97,141,68,1.45
Q99616,Eukaryota,Non-dark,23%,0%,0%,0%,98,143,54,1.67
Q16627,Eukaryota,Non-dark,20%,0%,0%,0%,93,135,66,1.43
Q16663,Eukaryota,Non-dark,41%,0%,0%,0%,113,107,78,1.24
O15467,Eukaryota,Non-dark,32%,3%,0%,0%,120,107,100,1.34
Q92583,Eukaryota,Non-dark,24%,0%,0%,0%,94,134,54,1.83
P55774,Eukaryota,Non-dark,30%,0%,0%,0%,89,144,78,1.02
Q99731,Eukaryota,Non-dark,26%,5%,0%,0%,98,143,110,1.81
P22362,Eukaryota,Non-dark,23%,0%,0%,0%,96,119,64,1.26
P78556,Eukaryota,Non-dark,27%,0%,0%,0%,96,136,110,1.23
O00585,Eukaryota,Non-dark,17%,38%,0%,0%,134,118,110,3.08
O00626,Eukaryota,Non-dark,30%,0%,0%,0%,93,134,60,0.75
P55773,Eukaryota,Non-dark,37%,0%,0%,0%,120,112,54,1.34
O00175,Eukaryota,Non-dark,39%,0%,0%,0%,119,128,54,1.61
O15444,Eukaryota,Non-dark,53%,5%,0%,0%,150,100,102,2.63
Q9Y258,Eukaryota,Non-dark,24%,0%,0%,0%,94,141,52,0.72
Q9Y4X3,Eukaryota,Non-dark,21%,0%,0%,0%,112,92,88,2.64
Q9NRJ3,Eukaryota,Non-dark,43%,32%,0%,0%,127,95,88,0.87
P13500,Eukaryota,Non-dark,23%,14%,0%,0%,99,141,50,1.57
P10147,Eukaryota,Non-dark,24%,0%,0%,0%,92,141,52,1.68
P13236,Eukaryota,Non-dark,25%,0%,0%,0%,92,127,92,1.49
P13501,Eukaryota,Non-dark,25%,0%,0%,0%,91,139,92,1.3
P80098,Eukaryota,Non-dark,23%,3%,0%,0%,99,146,88,1.61
P80075,Eukaryota,Non-dark,23%,0%,0%,0%,99,149,44,1.59
Q9NUG4,Eukaryota,Non-dark,66%,27%,5%,0%,571,41,0,11.46
Q9BSQ5,Eukaryota,Non-dark,48%,15%,0%,0%,444,43,40,8.34
P78396,Eukaryota,Non-dark,43%,6%,1%,0%,465,1068,94,4.38
P20248,Eukaryota,Non-dark,39%,34%,0%,0%,432,1078,76,3.56
P14635,Eukaryota,Non-dark,38%,31%,8%,0%,433,1090,110,4.69
O95067,Eukaryota,Non-dark,35%,21%,0%,0%,398,1104,102,6.16
Q8WWL7,Eukaryota,Non-dark,81%,30%,0%,0%,1395,1027,60,9.01
P24863,Eukaryota,Non-dark,0%,11%,0%,0%,283,521,110,2.77
P24385,Eukaryota,Non-dark,1%,8%,3%,0%,295,1131,88,5.08
P30279,Eukaryota,Non-dark,6%,8%,0%,0%,289,1129,72,5.1
P30281,Eukaryota,Non-dark,0%,14%,0%,0%,292,1121,70,3.52
P24864,Eukaryota,Non-dark,31%,24%,0%,0%,410,1035,78,1.23
O96020,Eukaryota,Non-dark,33%,16%,0%,0%,404,1038,90,2.97
P41002,Eukaryota,Non-dark,68%,24%,0%,0%,786,975,110,7.92
P51959,Eukaryota,Non-dark,12%,0%,0%,0%,295,1037,54,4.31
Q16589,Eukaryota,Non-dark,26%,0%,0%,0%,344,966,22,5.66
P51946,Eukaryota,Non-dark,0%,4%,1%,0%,323,412,78,4.13
Q6ZMN8,Eukaryota,Non-dark,42%,31%,0%,0%,369,1000,0,5.05
Q14094,Eukaryota,Non-dark,36%,11%,0%,0%,377,1000,4,8.41
Q8IV13,Eukaryota,Non-dark,43%,7%,0%,0%,435,957,0,5.05
Q5T5M9,Eukaryota,Non-dark,33%,8%,0%,0%,372,960,0,5.44
O75909,Eukaryota,Non-dark,54%,58%,1%,0%,580,1015,32,5.01
Q9UK58,Eukaryota,Non-dark,50%,50%,0%,0%,526,807,38,3.05
Q96S94,Eukaryota,Non-dark,51%,43%,0%,0%,520,667,12,4.32
P22674,Eukaryota,Non-dark,36%,25%,0%,0%,350,1075,18,2.85
O60563,Eukaryota,Non-dark,61%,61%,17%,0%,726,481,60,8.86
O60583,Eukaryota,Non-dark,65%,58%,4%,0%,730,513,94,7.09
Q8ND76,Eukaryota,Non-dark,52%,15%,0%,0%,341,275,110,6.67
Q9ULG6,Eukaryota,Dark,100%,48%,1%,3%,757,35,6,10.47
P46092,Eukaryota,Non-dark,14%,4%,0%,40%,362,3764,60,3.46
P32246,Eukaryota,Non-dark,0%,2%,0%,49%,355,3804,32,3.76
P41597,Eukaryota,Non-dark,8%,4%,0%,44%,374,3781,48,3.91
P51677,Eukaryota,Non-dark,17%,0%,0%,46%,355,3776,44,4.72
P51679,Eukaryota,Non-dark,18%,0%,0%,46%,360,3745,32,4.23
P51681,Eukaryota,Non-dark,0%,0%,0%,47%,352,3740,38,3.81
P51684,Eukaryota,Non-dark,21%,0%,0%,43%,374,3764,78,3.5
P32248,Eukaryota,Non-dark,22%,0%,0%,43%,378,3680,110,4.85
P51685,Eukaryota,Non-dark,13%,0%,0%,46%,355,3672,72,4.72
P51686,Eukaryota,Non-dark,20%,0%,0%,40%,369,3747,60,3.75
O00421,Eukaryota,Non-dark,15%,6%,0%,43%,344,3528,2,3.86
Q6IQ19,Eukaryota,Dark,100%,84%,3%,0%,270,10,0,3.27
Q9C0I3,Eukaryota,Dark,100%,57%,8%,0%,900,33,0,10.48
Q9H7U1,Eukaryota,Dark,100%,67%,2%,0%,834,28,0,10.68
O14618,Eukaryota,Non-dark,5%,21%,0%,0%,274,423,10,3.55
Q8N7R7,Eukaryota,Non-dark,55%,15%,0%,0%,359,285,0,7.96
Q5T2Q4,Eukaryota,Non-dark,55%,6%,0%,0%,361,279,0,6.5
P0C7X3,Eukaryota,Non-dark,54%,2%,0%,0%,344,101,2,NA
P86790,Eukaryota,Dark,100%,3%,0%,0%,482,99,6,7.61
P86791,Eukaryota,Dark,100%,3%,0%,0%,482,NA,0,8.01
Q8WVX3,Eukaryota,Dark,100%,3%,0%,32%,66,5,0,1.05
Q99440,Eukaryota,Dark,100%,16%,0%,0%,93,3,2,3.25
Q6W349,Eukaryota,Dark,100%,0%,0%,0%,94,2,2,1.31
Q53FE4,Eukaryota,Dark,100%,57%,0%,0%,359,32,2,7.52
Q8IY42,Eukaryota,Dark,100%,85%,0%,0%,314,7,0,7
Q6V702,Eukaryota,Dark,100%,3%,0%,0%,233,37,0,4.56
Q17RF5,Eukaryota,Dark,100%,22%,0%,0%,130,4,0,1.51
Q9NWY4,Eukaryota,Dark,100%,5%,0%,0%,346,39,0,5.88
Q0P651,Eukaryota,Non-dark,52%,6%,0%,0%,414,61,0,5.81
Q8N8J7,Eukaryota,Dark,100%,45%,0%,16%,132,16,0,0.57
Q8N1A6,Eukaryota,Non-dark,21%,0%,0%,0%,199,27,0,4.01
Q96KX1,Eukaryota,Dark,100%,3%,0%,0%,117,7,0,2
Q96LM5,Eukaryota,Dark,100%,18%,0%,0%,186,18,2,4.26
Q504U0,Eukaryota,Dark,100%,58%,0%,0%,113,2,0,1.91
A7E2U8,Eukaryota,Dark,100%,34%,0%,0%,309,33,0,8.66
Q5BLP8,Eukaryota,Dark,100%,12%,0%,0%,95,13,0,1.76
Q6ZRC1,Eukaryota,Dark,100%,24%,0%,0%,276,9,0,5.64
C9J302,Eukaryota,Dark,100%,1%,0%,0%,202,4,0,3.34
Q6YHK3,Eukaryota,Non-dark,7%,1%,0%,0%,1445,542,2,12.64
Q9UQ88,Eukaryota,Non-dark,62%,57%,47%,0%,783,9989,36,11.6
P21127,Eukaryota,Non-dark,63%,59%,34%,0%,795,9989,36,9.74
O75794,Eukaryota,Dark,100%,10%,0%,0%,336,94,24,3.17
P08571,Eukaryota,Non-dark,10%,6%,0%,0%,375,1689,48,8.8
P48509,Eukaryota,Non-dark,68%,0%,0%,33%,253,541,66,4.37
Q5M9N0,Eukaryota,Dark,100%,52%,10%,0%,1113,26,0,14.07
A8MXV6,Eukaryota,Dark,100%,48%,0%,7%,281,10,0,2.75
Q13740,Eukaryota,Non-dark,17%,9%,0%,4%,583,2844,10,5.88
Q8N6Q3,Eukaryota,Non-dark,26%,9%,0%,0%,437,27,10,3.32
Q99467,Eukaryota,Non-dark,8%,0%,0%,4%,661,4300,24,4.52
P15391,Eukaryota,Non-dark,52%,47%,0%,4%,556,14,64,13.68
P06126,Eukaryota,Non-dark,14%,2%,0%,6%,327,451,6,4.94
P29016,Eukaryota,Non-dark,15%,0%,0%,6%,333,453,6,5.11
P29017,Eukaryota,Non-dark,15%,0%,0%,6%,333,456,6,4.18
P15813,Eukaryota,Non-dark,16%,3%,0%,6%,335,456,34,5.73
P15812,Eukaryota,Non-dark,25%,2%,0%,5%,388,436,2,4.2
Q9NNX6,Eukaryota,Non-dark,54%,6%,0%,5%,404,1227,26,5.41
Q86Y33,Eukaryota,Non-dark,21%,15%,0%,0%,519,5764,2,3.73
P11836,Eukaryota,Non-dark,0%,23%,0%,29%,297,127,50,4.5
Q15762,Eukaryota,Non-dark,35%,7%,2%,6%,336,832,20,4.85
P20273,Eukaryota,Non-dark,22%,12%,0%,2%,847,2840,84,7.11
Q9BZW8,Eukaryota,Non-dark,47%,15%,0%,6%,370,458,24,6.02
Q9HCU0,Eukaryota,Non-dark,53%,40%,36%,3%,757,2024,2,7.78
P25063,Eukaryota,Dark,100%,38%,0%,0%,80,5,6,-0.31
Q5ZPR3,Eukaryota,Non-dark,19%,16%,0%,4%,534,111,50,7.23
P26842,Eukaryota,Non-dark,37%,19%,0%,8%,260,174,34,4.82
P10747,Eukaryota,Non-dark,35%,2%,0%,12%,220,32,80,2.47
P42771,Eukaryota,Non-dark,0%,26%,0%,0%,156,5866,76,2.24
Q8N726,Eukaryota,Non-dark,72%,60%,0%,0%,132,13,80,1.76
Q9Y5K6,Eukaryota,Non-dark,44%,54%,14%,0%,639,783,46,7.94
O95400,Eukaryota,Non-dark,77%,63%,0%,0%,341,92,64,5.82
P06729,Eukaryota,Non-dark,42%,33%,16%,7%,351,272,40,5.71
Q8IX05,Eukaryota,Non-dark,44%,0%,0%,9%,232,1455,0,3.01
Q9NPF0,Eukaryota,Non-dark,54%,22%,4%,7%,282,636,14,2.9
P20138,Eukaryota,Non-dark,33%,32%,0%,6%,364,427,2,4.7
P28906,Eukaryota,Dark,100%,45%,0%,5%,385,13,30,7.2
P16671,Eukaryota,Non-dark,18%,1%,0%,9%,472,255,36,5.65
Q7L3B6,Eukaryota,Non-dark,54%,26%,0%,0%,337,48,10,5.78
P11049,Eukaryota,Non-dark,71%,0%,0%,31%,281,525,12,3.57
P28907,Eukaryota,Non-dark,15%,1%,0%,7%,300,50,44,2.51
P04234,Eukaryota,Non-dark,53%,0%,0%,12%,171,38,96,2.27
P07766,Eukaryota,Non-dark,21%,21%,0%,13%,207,37,106,3.36
P09693,Eukaryota,Non-dark,54%,11%,0%,12%,182,57,92,1.45
P20963,Eukaryota,Non-dark,51%,44%,0%,13%,164,25,80,4.01
P29965,Eukaryota,Non-dark,44%,3%,0%,9%,261,89,56,4.62
P16070,Eukaryota,Non-dark,79%,67%,1%,3%,742,161,42,11.84
Q08722,Eukaryota,Non-dark,63%,0%,0%,33%,323,133,40,6.29
P09326,Eukaryota,Non-dark,9%,0%,0%,0%,243,588,50,4.34
P01730,Eukaryota,Non-dark,4%,5%,0%,5%,458,1720,68,7.8
P31358,Eukaryota,Dark,100%,3%,0%,0%,61,6,16,0.05
P19397,Eukaryota,Non-dark,64%,0%,0%,40%,219,525,76,2.66
P13987,Eukaryota,Non-dark,34%,0%,0%,0%,128,47,38,1.69
O43866,Eukaryota,Non-dark,9%,2%,0%,0%,347,845,2,4.08
Q15078,Eukaryota,Non-dark,32%,25%,0%,0%,307,44,36,6.93
Q13319,Eukaryota,Non-dark,59%,53%,5%,0%,367,45,8,7.68
P06127,Eukaryota,Non-dark,36%,24%,0%,6%,495,762,68,11.93
P08962,Eukaryota,Non-dark,66%,0%,0%,35%,238,547,26,3.34
P34810,Eukaryota,Non-dark,57%,44%,4%,7%,354,123,60,3.3
Q07108,Eukaryota,Non-dark,0%,7%,0%,11%,199,1166,54,2.23
P30203,Eukaryota,Non-dark,56%,36%,0%,3%,668,798,12,5.93
P32970,Eukaryota,Non-dark,32%,2%,0%,11%,193,17,16,4.09
P21854,Eukaryota,Non-dark,60%,6%,0%,6%,359,778,82,6.17
P11912,Eukaryota,Non-dark,15%,4%,0%,10%,226,37,78,5.55
P40259,Eukaryota,Non-dark,13%,10%,0%,9%,229,272,92,5.45
P09564,Eukaryota,Non-dark,39%,18%,0%,9%,240,205,48,3.87
P33681,Eukaryota,Non-dark,25%,4%,0%,7%,288,529,72,5.52
P60033,Eukaryota,Non-dark,0%,0%,0%,37%,236,NA,40,4.03
P27701,Eukaryota,Non-dark,70%,2%,0%,33%,267,535,42,4.26
Q01151,Eukaryota,Non-dark,24%,12%,0%,11%,205,15,58,3.79
P42081,Eukaryota,Non-dark,36%,8%,0%,6%,329,402,68,5.11
P01732,Eukaryota,Non-dark,41%,9%,0%,9%,235,269,80,3.36
A6NJW9,Eukaryota,Non-dark,39%,3%,0%,10%,211,372,56,NA
P10966,Eukaryota,Non-dark,39%,2%,0%,10%,210,376,92,4.36
P48960,Eukaryota,Non-dark,16%,4%,0%,18%,835,2932,6,8.4
P14209,Eukaryota,Dark,100%,72%,0%,14%,185,38,12,2.6
P21926,Eukaryota,Non-dark,64%,0%,0%,40%,228,516,28,3.67
Q96GN5,Eukaryota,Dark,100%,42%,0%,0%,454,119,4,6.42
Q9BWV3,Eukaryota,Non-dark,32%,17%,0%,0%,514,360,0,10.74
Q8IWY9,Eukaryota,Dark,100%,26%,0%,3%,1227,39,36,14.58
Q13042,Eukaryota,Non-dark,4%,8%,0%,0%,620,4001,110,8.67
Q12834,Eukaryota,Non-dark,14%,25%,0%,0%,499,6092,102,5.11
Q9UJX2,Eukaryota,Non-dark,10%,4%,0%,0%,597,4318,110,4.49
Q8NHZ8,Eukaryota,Non-dark,66%,75%,0%,0%,85,10,110,0.93
P30260,Eukaryota,Non-dark,38%,30%,0%,0%,824,3456,106,5.45
Q16543,Eukaryota,Non-dark,33%,27%,0%,0%,378,64,60,9.26
P60953,Eukaryota,Non-dark,0%,6%,0%,0%,191,NA,30,4.47
O75419,Eukaryota,Dark,100%,8%,0%,0%,566,79,110,10.44
Q99459,Eukaryota,Non-dark,83%,56%,0%,0%,802,1632,56,8.52
Q99741,Eukaryota,Non-dark,29%,24%,0%,0%,560,855,108,4.68
Q6P1J9,Eukaryota,Non-dark,70%,24%,1%,0%,531,95,102,8.26
O00311,Eukaryota,Non-dark,6%,14%,0%,0%,574,9976,110,4.6
Q69YH5,Eukaryota,Dark,100%,57%,4%,0%,1023,22,110,15.63
Q99618,Eukaryota,Dark,100%,100%,0%,0%,268,14,94,4.87
Q9BXL8,Eukaryota,Dark,100%,39%,0%,0%,241,30,6,4.74
Q96FF9,Eukaryota,Dark,100%,62%,0%,0%,252,11,80,4.78
Q9BWT1,Eukaryota,Dark,100%,53%,8%,0%,371,123,80,5.77
Q9H5V8,Eukaryota,Non-dark,38%,12%,0%,3%,836,6,24,7.07
Q5VXM1,Eukaryota,Non-dark,14%,4%,0%,0%,449,924,10,4.55
P32320,Eukaryota,Non-dark,5%,2%,0%,0%,146,220,60,2.2
Q96JP9,Eukaryota,Non-dark,27%,19%,7%,2%,859,1345,4,7.8
Q9BYE9,Eukaryota,Non-dark,35%,10%,0%,2%,1310,1341,0,13.22
Q6ZTQ4,Eukaryota,Non-dark,28%,15%,0%,2%,885,1355,0,8.42
A6H8M9,Eukaryota,Non-dark,22%,3%,0%,3%,788,1304,0,6.32
Q9HBB8,Eukaryota,Non-dark,48%,51%,0%,2%,845,1242,0,15.17
Q9H305,Eukaryota,Dark,100%,43%,50%,0%,208,145,2,2.4
O14735,Eukaryota,Non-dark,23%,0%,0%,49%,213,379,46,3.73
Q15131,Eukaryota,Non-dark,6%,8%,0%,0%,360,9986,2,5.82
Q9NYV4,Eukaryota,Non-dark,77%,74%,2%,0%,1490,9988,60,11.61
Q14004,Eukaryota,Non-dark,79%,68%,0%,0%,1512,9988,62,10.5
O94921,Eukaryota,Non-dark,6%,19%,0%,0%,469,9986,76,5.17
Q96Q40,Eukaryota,Non-dark,24%,2%,0%,0%,435,9986,0,6.02
Q00536,Eukaryota,Non-dark,36%,24%,0%,0%,496,9989,14,8.17
Q00537,Eukaryota,Non-dark,40%,28%,0%,0%,523,9989,6,7.19
Q07002,Eukaryota,Non-dark,34%,21%,0%,0%,472,9986,8,8.86
Q9BWU1,Eukaryota,Non-dark,30%,34%,13%,0%,502,9979,92,4.46
P06493,Eukaryota,Non-dark,0%,0%,0%,0%,297,9990,98,5.41
Q8IZL9,Eukaryota,Non-dark,5%,8%,0%,0%,346,9986,6,4.96
P24941,Eukaryota,Non-dark,0%,0%,0%,0%,298,9990,76,6.34
Q00526,Eukaryota,Non-dark,0%,0%,0%,0%,305,9990,42,8.21
P11802,Eukaryota,Non-dark,0%,7%,2%,0%,303,9988,74,3.98
Q00535,Eukaryota,Non-dark,0%,0%,0%,0%,292,9989,34,6.3
Q00534,Eukaryota,Non-dark,0%,5%,0%,0%,326,9987,66,4.23
P50613,Eukaryota,Non-dark,0%,5%,0%,0%,346,9985,84,4.34
P49336,Eukaryota,Non-dark,13%,28%,1%,0%,464,9317,110,3.98
P50750,Eukaryota,Non-dark,0%,7%,0%,0%,372,9987,52,5.97
O14519,Eukaryota,Non-dark,41%,33%,0%,0%,115,35,2,1.27
O75956,Eukaryota,Non-dark,45%,80%,0%,0%,126,37,0,1.37
Q5VV42,Eukaryota,Non-dark,17%,11%,0%,4%,579,902,56,5.41
Q00532,Eukaryota,Non-dark,3%,4%,0%,0%,357,9986,0,5.96
Q92772,Eukaryota,Non-dark,38%,29%,0%,0%,493,9989,38,4.42
Q8IVW4,Eukaryota,Non-dark,45%,40%,0%,0%,592,9989,0,6.06
Q5MAI5,Eukaryota,Non-dark,23%,8%,0%,0%,379,9986,0,4.77
O76039,Eukaryota,Non-dark,71%,63%,1%,0%,1030,9988,12,8.17
Q16667,Eukaryota,Non-dark,0%,12%,0%,0%,212,502,106,4.03
P38936,Eukaryota,Non-dark,45%,44%,0%,0%,164,64,94,2.44
P46527,Eukaryota,Non-dark,53%,94%,0%,0%,198,63,82,2.14
P49918,Eukaryota,Non-dark,78%,65%,0%,0%,316,61,82,4.16
P42772,Eukaryota,Non-dark,7%,22%,0%,0%,138,5957,88,1.7
P42773,Eukaryota,Non-dark,0%,5%,0%,0%,168,6255,14,1.51
P55273,Eukaryota,Non-dark,0%,10%,0%,0%,166,6206,94,2.49
Q49AH0,Eukaryota,Non-dark,14%,0%,0%,0%,187,29,0,3.28
Q16878,Eukaryota,Non-dark,0%,8%,0%,0%,200,NA,70,3.38
Q4KMG0,Eukaryota,Non-dark,17%,20%,0%,2%,1287,3500,56,7.25
Q6NVV7,Eukaryota,Dark,100%,15%,0%,0%,123,35,0,1.94
P51861,Eukaryota,Dark,100%,0%,0%,0%,262,9,30,3.1
Q86X02,Eukaryota,Dark,100%,39%,0%,0%,465,35,2,10.41
Q01850,Eukaryota,Dark,100%,30%,0%,0%,454,35,16,9.05
O95170,Eukaryota,Non-dark,48%,1%,0%,0%,752,5088,4,3.11
Q8N9R6,Eukaryota,Dark,100%,45%,0%,0%,151,6,0,2.44
Q96T59,Eukaryota,Dark,100%,38%,0%,0%,188,11,2,2.78
Q92903,Eukaryota,Non-dark,45%,12%,0%,27%,461,304,46,6.4
O95674,Eukaryota,Non-dark,43%,9%,0%,28%,445,304,38,5.65
Q15517,Eukaryota,Dark,100%,67%,76%,0%,529,8,2,7.23
Q9H211,Eukaryota,Non-dark,0%,51%,0%,0%,546,73,106,7.12
Q9UKY7,Eukaryota,Dark,100%,100%,24%,0%,258,32,0,3.56
P47902,Eukaryota,Non-dark,67%,78%,5%,0%,265,3232,36,2.67
Q99626,Eukaryota,Non-dark,72%,64%,12%,0%,313,3128,38,2.7
O14627,Eukaryota,Non-dark,73%,44%,0%,0%,284,3170,14,2.03
Q9Y6F8,Eukaryota,Non-dark,39%,31%,0%,0%,540,1408,8,5.51
Q9Y6F7,Eukaryota,Non-dark,39%,33%,0%,0%,541,1407,24,5.76
Q9Y232,Eukaryota,Non-dark,37%,44%,0%,0%,598,1440,32,4.8
Q8N8U2,Eukaryota,Non-dark,36%,31%,0%,0%,506,1417,0,4.64
Q8NAS9,Eukaryota,Dark,100%,61%,0%,0%,161,4,0,2.31
Q49AR2,Eukaryota,Dark,100%,9%,0%,0%,442,42,0,9.2
Q7Z6I8,Eukaryota,Dark,100%,88%,0%,0%,188,10,0,1.66
Q52M75,Eukaryota,Dark,100%,45%,0%,0%,96,1,0,1.13
Q0VDI3,Eukaryota,Dark,100%,0%,0%,29%,215,31,0,2.95
Q96GV9,Eukaryota,Dark,100%,42%,2%,0%,206,3,0,4.75
Q96MH7,Eukaryota,Dark,100%,7%,0%,0%,638,21,0,9.75
Q9H799,Eukaryota,Dark,100%,29%,0%,1%,3197,43,12,26.4
Q6NTE8,Eukaryota,Dark,100%,70%,0%,0%,343,60,0,4.16
Q6UWT4,Eukaryota,Dark,100%,23%,0%,0%,87,5,0,0.02
Q569G3,Eukaryota,Dark,100%,44%,3%,0%,176,5,0,2.9
A4QMS7,Eukaryota,Dark,100%,52%,0%,0%,147,19,0,3.24
A6NDU8,Eukaryota,Dark,100%,0%,0%,0%,294,15,0,5.48
A6NGY3,Eukaryota,Dark,100%,45%,0%,0%,159,13,0,2.64
Q8N2X6,Eukaryota,Dark,100%,87%,0%,0%,119,1,0,0.57
Q8N8D9,Eukaryota,Dark,100%,0%,0%,0%,126,4,0,2.36
C9J3I9,Eukaryota,Dark,100%,2%,0%,0%,102,3,0,2.78
A6NFR6,Eukaryota,Dark,100%,48%,18%,6%,353,41,0,4.43
Q2M2E5,Eukaryota,Dark,100%,8%,0%,0%,130,3,0,2.46
Q9H5L9,Eukaryota,Dark,100%,12%,0%,0%,145,1,0,5.68
O60308,Eukaryota,Non-dark,64%,22%,0%,0%,925,97,0,5.88
Q8N8E3,Eukaryota,Dark,100%,38%,0%,0%,955,43,2,10.29
Q8N960,Eukaryota,Non-dark,87%,23%,0%,0%,986,70,2,10.79
Q6ZU80,Eukaryota,Dark,100%,58%,0%,0%,1094,138,0,11.82
O94986,Eukaryota,Non-dark,98%,30%,0%,0%,1710,30,110,21.66
Q5TB80,Eukaryota,Dark,100%,43%,0%,0%,1403,50,2,21.78
Q9UPV0,Eukaryota,Dark,100%,68%,34%,0%,1460,108,80,22.68
Q5SW79,Eukaryota,Non-dark,92%,80%,0%,0%,1584,342,76,16.84
Q8TEP8,Eukaryota,Dark,100%,28%,0%,0%,1941,57,98,24.1
O15078,Eukaryota,Dark,100%,26%,0%,0%,2479,73,64,26.59
Q5VT06,Eukaryota,Non-dark,96%,63%,7%,0%,3117,344,44,29.12
Q8IYX8,Eukaryota,Non-dark,84%,31%,0%,0%,460,44,0,9.26
Q5SZL2,Eukaryota,Dark,100%,40%,0%,0%,805,38,4,6.39
Q2WEN9,Eukaryota,Non-dark,1%,4%,0%,0%,425,2905,0,2.71
A8MTB9,Eukaryota,Non-dark,7%,11%,0%,0%,384,2174,0,7.38
Q7Z692,Eukaryota,Non-dark,61%,28%,0%,7%,300,84,0,8.5
Q6UY09,Eukaryota,Non-dark,37%,18%,0%,4%,585,2631,0,5.47
Q3KPI0,Eukaryota,Non-dark,29%,16%,0%,7%,293,1934,0,3.62
P13688,Eukaryota,Non-dark,25%,29%,0%,5%,526,2943,40,3.96
P40198,Eukaryota,Non-dark,57%,13%,0%,8%,252,94,2,3.53
O75871,Eukaryota,Non-dark,52%,19%,0%,9%,244,93,0,3.1
P06731,Eukaryota,Non-dark,8%,13%,0%,0%,702,3063,8,5.41
